business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
CA02,140105686,SYSC llc,2020-04-14 14:11:09.156250000,2020,2960623488,2020-03-30,2020-04-10,2020-03-31,CA10,2309.7899999999995,0-15
U001,200744019,TARG us,2020-04-16 20:24:35.250000000,2020,1930659387,2020-03-19,2020-04-03,2020-03-19,NAA8,11173.02,0-15
U001,200418007,AM ,2020-04-01 21:30:27.312500000,2020,1930610806,2020-03-11,2020-03-26,2020-03-11,NAA8,3525.59,0-15
U001,200739534,OK systems,2020-04-24 18:36:52.812500000,2020,1930788296,2020-04-15,2020-04-30,2020-04-15,NAA8,121105.65,
U001,200353024,DECA corporation,2020-04-19 11:09:09.625000000,2020,1930817482,2020-04-23,2020-04-26,2020-04-16,NAM2,3726.06,
U001,200744019,TARG associates,2020-05-03 11:20:25.750000000,2020,1930676042,2020-03-21,2020-04-05,2020-03-21,NAA8,5893.01,16-30
CA02,140106408,WAL-M corp,2020-03-08 09:20:51.125000000,2020,2960618790,2020-03-06,2020-03-16,2020-03-06,CA10,64982.589,
U001,200337148,COAS llc,2020-03-15 11:15:23.781250000,2020,1930592246,2020-03-02,2020-03-17,2020-03-02,NAA8,11380.83,
U001,200794332,COST associates,2020-05-08 01:30:26.500000000,2020,1930731070,2020-04-07,2020-04-22,2020-04-07,NAAX,3863.93,16-30
U001,200794332,COST llc,2020-06-05 14:56:57.000000000,2020,1930803605,2020-04-23,2020-05-08,2020-04-23,NAAX,74453.01,16-30
U001,200803720,DEC corp,2020-03-13 07:29:46.250000000,2020,1930698352,2020-03-25,2020-04-08,2020-03-16,NAM4,138.6,
U001,200794332,COST co,2020-04-08 23:44:16.312500000,2020,1930647189,2020-03-13,2020-03-28,2020-03-13,NAAX,32715.47,0-15
U001,200020431,DEC us,2020-05-09 06:48:37.125000000,2020,1930861637,2020-05-06,2020-05-24,2020-05-01,NAM4,174.72,
U001,200769623,WAL-MAR associates,2020-04-03 23:29:56.312500000,2020,1930635649,2020-03-12,2020-03-27,2020-03-12,NAH4,767.78,0-15
CA02,140105785,SHOPPE foundation,2020-05-06 09:11:52.250000000,2020,2960624627,2020-03-27,2020-04-10,2020-03-31,CA10,1980.7199999999998,16-30
U001,200769623,WAL-MAR ,2020-03-17 22:03:37.718750000,2020,1930577078,2020-02-28,2020-03-14,2020-02-28,NAH4,14514.68,0-15
U001,200769623,WAL-MAR foundation,2020-05-04 13:13:23.562500000,2020,1930774741,2020-04-10,2020-04-25,2020-04-10,NAH4,55400.31,0-15
U001,200772670,ASSOCIAT corporation,2020-04-29 14:11:10.843750000,2020,1930765053,2020-04-09,2020-04-24,2020-04-09,NAU5,174766.36,0-15
U001,200900909,SYSCO systems,2020-05-05 20:34:49.375000000,2020,1930645969,2020-03-13,2020-04-14,2020-03-13,NA32,31512.75,16-30
